Name,Author,Publisher,Rating,Review Count,Sale Rank,Original Price,Sale Price,category
철학의 쓸모,로랑스 드빌레르 저/박효은 역,피카(FIKA),9.7,63,"| 판매지수 42,264 판매지수란?","18,800원","16,920원",철학/사상
압도하라 타이거즈,"오효주, 이범호 저",브레인스토어(BRAINstore),8.9,7,"| 판매지수 48,462 판매지수란?","20,000원","18,000원",한국 에세이
"봉주르, 뚜르",한윤섭 글/김진화 그림,문학동네,9.7,103,"| 판매지수 31,962 판매지수란?","12,500원","11,250원",5-6학년
리틀 라이프 1,한야 야나기하라 저,시공사,9.1,164,"| 판매지수 188,103 판매지수란?","14,800원","13,320원",영미소설
내면소통,김주환 저,인플루엔셜,9.6,336,"| 판매지수 117,645 판매지수란?","33,000원","29,700원",인문/교양
시간 유전자,김혜정 글/인디고 그림,라임,10.0,92,"| 판매지수 20,100 판매지수란?","13,000원","11,700원",3-4학년
2025 선재국어 예상 기출서 2,"이선재, 선재국어연구소 편저",수비니겨,9.8,24,"| 판매지수 36,888 판매지수란?","32,000원","28,800원",공무원
생각이 너무 많은 어른들을 위한 심리학,김혜남 저,메이븐,9.7,171,"| 판매지수 237,612 판매지수란?","17,800원","16,020원",심리
향기로운 꽃은 늠름하게 핀다 11,미카미 사카 글그림,대원,10.0,5,"| 판매지수 6,870 판매지수란?","6,000원","5,400원",로맨스
아비투스의 힘,도리스 메르틴 저/이지윤 역,더퀘스트,9.9,36,"| 판매지수 9,492 판매지수란?","21,000원","18,900원",성공학/경력관리
권력과 진보,"대런 아세모글루, 사이먼 존슨 저/김승진 역",생각의힘,9.1,28,"| 판매지수 23,547 판매지수란?","32,000원","28,800원",사회학
바질 이야기,F. 스콧 피츠제럴드 저/이영아 역,빛소굴,,지역변경,"| 판매지수 3,378 판매지수란?","13,000원","11,700원",영미소설
김대중 육성 회고록 (특별 보급판),연세대학교 김대중도서관 기획,한길사,10.0,1,"| 판매지수 8,910 판매지수란?","29,000원","26,100원",정치/외교
[예스리커버] 초역 부처의 말,코이케 류노스케 저/박재현 역,포레스트북스,9.5,142,"| 판매지수 145,296 판매지수란?","17,800원","16,020원",인문/교양
SQL 자격검정 실전문제,한국데이터진흥원 저,한국데이터산업진흥원,9.1,61,"| 판매지수 97,434 판매지수란?","18,000원","18,000원",컴퓨터 수험서
침팬지 폴리틱스,"프란스 드 발 글/장대익, 황상익 역",바다출판사,9.6,96,"| 판매지수 58,599 판매지수란?","18,000원","16,200원",생명과학
"초가공식품, 음식이 아닌 음식에 중독되다",크리스 반 툴레켄 저/김성훈 역,웅진지식하우스,9.8,25,"| 판매지수 19,698 판매지수란?","23,800원","21,420원",주제로 읽는 인...
설민석의 한국사 대모험 30,"설민석, 스토리박스 글/정현희 그림/강석화 감수",단꿈아이,10.0,146,"| 판매지수 53,694 판매지수란?","13,000원","11,700원",1-2학년
참사는 골목에 머물지 않는다,10·29 이태원참사 작가기록단 저,창비,,지역변경,"| 판매지수 8,250 판매지수란?","22,000원","19,800원",한국 에세이
멋진 신세계,올더스 헉슬리 저/안정효 역,소담출판사,9.1,582,"| 판매지수 47,508 판매지수란?","13,800원","12,420원",영미소설
리얼리티 트랜서핑 2,바딤 젤란드 저/박인수 역,정신세계사,9.7,111,"| 판매지수 31,662 판매지수란?","11,000원","9,900원",처세술/삶의 자...
싯다르타,헤르만 헤세 저/박병덕 역,민음사,9.4,457,"| 판매지수 73,311 판매지수란?","8,000원","7,200원",독일소설
내 인생 최악의 일주일 1 월요일,맷 코스그로브 글그림/이바 이모리스 글/김영진 역,비룡소,9.9,46,"| 판매지수 49,332 판매지수란?","14,000원","12,600원",3-4학년
해든 분식,동지아 글/윤정주 그림,문학동네,9.8,66,"| 판매지수 9,792 판매지수란?","11,000원","9,900원",1-2학년
닉 애덤스 이야기,어네스트 밀러 헤밍웨이 저/이영아 역,빛소굴,,지역변경,"| 판매지수 3,240 판매지수란?","14,400원","12,960원",영미소설
2025 이기적 컴퓨터활용능력 2급 필기 기본서,"홍태성, 영진정보연구소 저",영진닷컴,9.3,16,"| 판매지수 33,426 판매지수란?","21,000원","18,900원",컴퓨터 수험서
토마토 컵라면,차정은 저,BOOKK(부크크),9.3,50,"| 판매지수 73,299 판매지수란?","9,000원","8,100원",시/희곡
[예스리커버] 느리게 나이 드는 습관,정희원 저,한빛라이프,9.7,155,"| 판매지수 168,777 판매지수란?","18,000원","16,200원",건강에세이/건강...
남극의 아이 13호,알바로 야리투 저/김정하 역,라임,9.6,23,"| 판매지수 19,245 판매지수란?","11,000원","9,900원",청소년 문학
리틀 라이프 2,한야 야나기하라 저,시공사,9.5,91,"| 판매지수 162,603 판매지수란?","14,800원","13,320원",영미소설
최애의 아이 14,아카사카 아카 글/요코야리 멘고 그림,대원,9.6,36,"| 판매지수 45,060 판매지수란?","6,000원","5,400원",로맨스
아임 오케이 유어 오케이,"토마스 A. 해리스 저/이영호, 박미현 역",이너북스,10.0,9,"| 판매지수 7,932 판매지수란?","16,000원","14,400원",심리
비밀요원 레너드 21,박설연 글/김덕영 그림,아울북,10.0,1,"| 판매지수 6,540 판매지수란?","14,800원","13,320원",1-2학년
빠르게 생각하고 똑똑하게 말하라,맷 에이브러햄스 저/진정성 역,웨일북,9.8,25,"| 판매지수 25,902 판매지수란?","19,000원","17,100원",처세술/삶의 자...
독끝 NCS 기본서 : 독학으로 끝내는 공기업 NCS 통합기본서 (PSAT형+모듈형+피듈형),"길잡이연구소, 애드투북스 저",애드투북스,9.8,157,"| 판매지수 32,226 판매지수란?","27,000원","24,300원",공무원
